Protein.Group,Protein.Names,Genes,First.Protein.Description,Bt1_DIA,Bt2_DIA,Bt3_DIA,STS1_DIA,STS2_DIA,STS3_DIA,Average Bt,Average ST,Fold Change,log2 Fold Change ST
A0A0B4J2D5;P0DPI2,GAL3A_HUMAN;GAL3B_HUMAN,GATD3;GATD3B,"Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",4030000,3640000,3440000,3650000,4250000,4880000,3703333.33333333,4260000,1.15031503150315,0.202029019557902
A0A804HLA8;P63218,GBG5B_HUMAN;GBG5_HUMAN,GNG5;GNG5B,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5B,510866,618879,694707,717546,560954,741147,608150.666666667,673215.666666667,1.10698829018248,0.14663996124772
A0AVT1,UBA6_HUMAN,UBA6,Ubiquitin-like modifier-activating enzyme 6,751356,882618,819180,863386,865481,869715,817718,866194,1.05928205078034,0.0830867810995501
A0FGR8,ESYT2_HUMAN,ESYT2,Extended synaptotagmin-2,513251,443417,401166,487071,410967,448666,452611.333333333,448901.333333333,0.99180312173653,-0.0118743285935277
A0MZ66,SHOT1_HUMAN,SHTN1,Shootin-1,1270000,1350000,1240000,1320000,1210000,1280000,1286666.66666667,1270000,0.987046632124352,-0.0188098497747584
A1L0T0,HACL2_HUMAN,ILVBL,2-hydroxyacyl-CoA lyase 2,770128,820374,884436,876477,1050000,859258,824979.333333333,928578.333333333,1.12557769123913,0.170665639996949
A1L188,NDUF8_HUMAN,NDUFAF8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8,56697.2,88671,56697.2,109219,109219,109219,67355.1333333333,109219,1.62153936299832,0.69736404575683
A3KMH1,VWA8_HUMAN,VWA8,von Willebrand factor A domain-containing protein 8,256255,207823,239452,333235,339844,560573,234510,411217.333333333,1.75351726294543,0.810251633637873
A3KN83,SBNO1_HUMAN,SBNO1,Protein strawberry notch homolog 1,264520,269115,793889,230938,560176,922476,442508,571196.666666667,1.29081658787336,0.368284022671669
A4D1E9,GTPBA_HUMAN,GTPBP10,GTP-binding protein 10,213716,196132,200045,185969,153009,153009,203297.666666667,163995.666666667,0.806677564753162,-0.309935962507481
A5YKK6,CNOT1_HUMAN,CNOT1,CCR4-NOT transcription complex subunit 1,2160000,2730000,2300000,1340000,1240000,1770000,2396666.66666667,1450000,0.605006954102921,-0.724976369703207
A6NCE7;Q9GZQ8,MLP3B_HUMAN;MP3B2_HUMAN,MAP1LC3B;MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,827668,854533,827668,1040000,1040000,1040000,836623,1040000,1.24309276699302,0.31393396291244
A6NDG6,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,3720000,4730000,4170000,3810000,5080000,4330000,4206666.66666667,4406666.66666667,1.04754358161648,0.0670102665251427
A6NDU8,RIMC1_HUMAN,RIMOC1,RAB7A-interacting MON1-CCZ1 complex subunit 1,288754,436748,341556,369993,369993,582842,355686,440942.666666667,1.23969643636991,0.309986892096358
A6NHL2,TBAL3_HUMAN,TUBAL3,Tubulin alpha chain-like 3,4050000,4030000,3270000,4000000,3670000,3470000,3783333.33333333,3713333.33333333,0.981497797356828,-0.0269430648382456
